
> frontend@0.1.0 dev
> next dev

[baseline-browser-mapping] The data in this module is over two months old.  To ensure accurate Baseline data, please update: `npm i baseline-browser-mapping@latest -D`
 GET /admin-panel/camps 200 in 80ms (compile: 14ms, render: 66ms)
 GET /camps/1/edition/1/step/1 200 in 86ms (compile: 46ms, render: 40ms)
 GET /admin-panel/camps 200 in 51ms (compile: 1241µs, render: 50ms)
 GET /camps/1/edition/1/step/1 200 in 33ms (compile: 3ms, render: 30ms)
 GET /admin-panel/camps 200 in 55ms (compile: 9ms, render: 46ms)
 GET /camps/1/edition/1/step/1 200 in 65ms (compile: 2ms, render: 62ms)
 GET /admin-panel/camps 200 in 45ms (compile: 4ms, render: 41ms)
 GET /admin-panel/camps 200 in 41ms (compile: 3ms, render: 38ms)
 GET /camps/1/edition/1/step/1 200 in 108ms (compile: 18ms, render: 90ms)
 GET /admin-panel/camps 200 in 11ms (compile: 1033µs, render: 10ms)
 GET /camps/1/edition/1/step/1 200 in 22ms (compile: 1067µs, render: 21ms)
 GET /admin-panel/camps 200 in 26ms (compile: 3ms, render: 23ms)
 GET /camps/1/edition/1/step/1 200 in 54ms (compile: 1313µs, render: 53ms)
 GET /admin-panel/camps 200 in 38ms (compile: 2ms, render: 36ms)
 GET /camps/1/edition/1/step/1 200 in 22ms (compile: 5ms, render: 17ms)
 GET /admin-panel/camps 200 in 23ms (compile: 993µs, render: 22ms)
 GET /admin-panel/camps 200 in 11ms (compile: 2ms, render: 8ms)
 GET /camps/1/edition/1/step/1 200 in 24ms (compile: 1261µs, render: 23ms)
 GET /admin-panel/camps 200 in 24ms (compile: 1808µs, render: 23ms)
 GET /admin-panel/camps 200 in 9ms (compile: 1399µs, render: 8ms)
 GET /camps/1/edition/1/step/1 200 in 22ms (compile: 1099µs, render: 21ms)
 GET /admin-panel/camps 200 in 23ms (compile: 1122µs, render: 22ms)
 GET /camps/1/edition/1/step/1 200 in 23ms (compile: 1100µs, render: 22ms)
 GET /admin-panel/camps 200 in 9ms (compile: 953µs, render: 8ms)
 GET /admin-panel/camps 200 in 24ms (compile: 1072µs, render: 23ms)
 GET /camps/1/edition/1/step/1 200 in 25ms (compile: 9ms, render: 16ms)
 GET /admin-panel/camps 200 in 31ms (compile: 2ms, render: 28ms)
 GET /camps/1/edition/1/step/1 200 in 18ms (compile: 3ms, render: 15ms)
 GET /admin-panel/camps 200 in 20ms (compile: 890µs, render: 19ms)
 GET /camps/1/edition/1/step/1 200 in 26ms (compile: 1008µs, render: 25ms)
 GET /admin-panel/camps 200 in 24ms (compile: 1228µs, render: 23ms)
 GET /camps/1/edition/1/step/1 200 in 14ms (compile: 3ms, render: 11ms)
 GET /admin-panel/camps 200 in 25ms (compile: 16ms, render: 9ms)
 GET /camps/1/edition/1/step/1 200 in 26ms (compile: 1086µs, render: 25ms)
 GET /admin-panel/camps 200 in 42ms (compile: 32ms, render: 11ms)
 GET /camps/1/edition/1/step/1 200 in 43ms (compile: 1374µs, render: 42ms)
 GET /admin-panel/camps 200 in 24ms (compile: 1423µs, render: 22ms)
 GET /camps/1/edition/1/step/1 200 in 14ms (compile: 992µs, render: 13ms)
 GET /admin-panel/camps 200 in 21ms (compile: 979µs, render: 20ms)
 GET /camps/1/edition/1/step/1 200 in 20ms (compile: 1333µs, render: 19ms)
 GET /admin-panel/camps 200 in 9ms (compile: 1025µs, render: 8ms)
 GET /admin-panel/camps 200 in 22ms (compile: 857µs, render: 21ms)
 GET /admin-panel/camps 200 in 10ms (compile: 1442µs, render: 8ms)
 GET /camps/1/edition/1/step/1 200 in 21ms (compile: 1330µs, render: 20ms)
 GET /camps/1/edition/1/step/1 200 in 31ms (compile: 1335µs, render: 30ms)
 GET /camps/1/edition/1/step/1 200 in 13ms (compile: 1359µs, render: 12ms)
 GET /camps/1/edition/1/step/1 200 in 12ms (compile: 1954µs, render: 10ms)
 GET /camps/1/edition/1/step/1 200 in 12ms (compile: 862µs, render: 11ms)
 GET /camps/1/edition/1/step/1 200 in 13ms (compile: 1258µs, render: 12ms)
 GET /camps/1/edition/1/step/1 200 in 11ms (compile: 909µs, render: 10ms)
 GET /admin-panel/camps/1/edit 200 in 10ms (compile: 3ms, render: 7ms)
 GET /admin-panel/camps 200 in 106ms (compile: 2ms, render: 104ms)
 GET /admin-panel/camps 200 in 95ms (compile: 2ms, render: 93ms)
 ✓ Compiled in 15ms
 ✓ Compiled in 18ms
 ✓ Compiled in 14ms
 GET /admin-panel/camps 200 in 171ms (compile: 52ms, render: 119ms)
 GET /admin-panel/camps 200 in 58ms (compile: 2ms, render: 55ms)
 GET /admin-panel/camps/1/editions/1/edit 200 in 363ms (compile: 342ms, render: 21ms)
 GET /admin-panel/camps/1/editions/1/edit 200 in 387ms (compile: 366ms, render: 21ms)
 ✓ Compiled in 14ms
 ✓ Compiled in 14ms
 GET /admin-panel/camps 200 in 132ms (compile: 43ms, render: 89ms)
 GET /admin-panel/camps 200 in 39ms (compile: 1919µs, render: 37ms)
 GET /admin-panel/camps/1/editions/1/edit 200 in 39ms (compile: 6ms, render: 33ms)
 GET /admin-panel/camps/1/editions/1/edit 200 in 27ms (compile: 3ms, render: 24ms)
 GET /admin-panel/camps 200 in 42ms (compile: 1458µs, render: 41ms)
 GET /admin-panel/camps 200 in 100ms (compile: 5ms, render: 95ms)
 GET /admin-panel/camps 200 in 80ms (compile: 3ms, render: 77ms)
 GET /admin-panel/camps/1/edit 200 in 20ms (compile: 7ms, render: 13ms)
 GET /admin-panel/camps/1/editions/1/edit 200 in 11ms (compile: 2ms, render: 9ms)
 GET /admin-panel/camps/1/editions/1/edit 200 in 11ms (compile: 1100µs, render: 10ms)
 GET /admin-panel/camps 200 in 19ms (compile: 1269µs, render: 18ms)
 GET /admin-panel/camps/1/edit 200 in 30ms (compile: 2ms, render: 28ms)
 GET /admin-panel/camps 200 in 17ms (compile: 4ms, render: 13ms)
 GET /admin-panel/camps/1/editions/1/edit 200 in 25ms (compile: 6ms, render: 18ms)
 GET /admin-panel/camps/1/edit 200 in 20ms (compile: 6ms, render: 14ms)
 GET /admin-panel/camps 200 in 9ms (compile: 1503µs, render: 8ms)
 GET /admin-panel/camps/1/editions/1/edit 200 in 22ms (compile: 4ms, render: 18ms)
 GET /admin-panel/camps/1/edit 200 in 12ms (compile: 3ms, render: 9ms)
 GET /admin-panel/camps 200 in 10ms (compile: 1519µs, render: 9ms)
 GET /admin-panel/camps/1/editions/1/edit 200 in 21ms (compile: 3ms, render: 17ms)
